date,date_gap,disp,flags,latitude,longitude,mask,size,vel_angle,iceberg_name,timestamp
2015240,0,0.0,3,-74.95,-103.0,0,677.45,0.3639,b36,1970-01-01T00:00:00Z
2016001,0,0.0,6,-74.6,-108.683,0,903.65,0.1493,b37,1970-01-01T00:00:00Z
2016001,0,0.0,6,-77.032,-155.177,1,0.0,0.0,b38,1970-01-01T00:00:00Z
2016001,0,0.0,6,-66.667,146.737,1,0.0,0.0,b39,1970-01-01T00:00:00Z
2016001,0,0.0,6,-65.77,148.602,1,1447.85,0.0,b40,1970-01-01T00:00:00Z
2016253,0,0.0,3,-74.967,-101.533,0,887.69,-0.002,b41,1970-01-01T00:00:00Z
2017097,0,0.0,6,-74.51,-106.934,1,0.0,0.0,b42,1970-01-01T00:00:00Z
2017097,0,0.0,6,-74.45,-107.223,1,1882.5,-0.3328,b43,1970-01-01T00:00:00Z
2017272,0,0.0,3,-74.95,-101.05,0,62021.05,0.0,b44,1970-01-01T00:00:00Z
2018215,0,0.0,3,-74.71,-109.37,0,683.92,0.0,b45,1970-01-01T00:00:00Z
2018301,0,0.0,6,-75.027,-101.213,0,0.0,0.0,b46,1970-01-01T00:00:00Z
2019263,0,0.0,6,-74.263,-130.282,0,0.0,0.0,b47,1970-01-01T00:00:00Z
2020038,0,0.0,6,-74.156,-112.777,0,1526.98,0.0,b48,1970-01-01T00:00:00Z
2020045,0,0.0,6,-74.905,-102.259,0,1524.05,0.0645,b49,1970-01-01T00:00:00Z
2020104,0,0.0,6,-74.032,-129.422,0,2379.86,-0.0172,b50,1970-01-01T00:00:00Z
2000310,0,0.0,3,-67.6,147.2,0,2489.35,0.0,c14a,1970-01-01T00:00:00Z
2000050,0,0.0,17,-67.782,147.122,0,-50.39,0.0,c15,1970-01-01T00:00:00Z
2000258,0,0.0,17,-77.078,170.532,1,1604.34,0.0,c16,1970-01-01T00:00:00Z
2003289,0,0.0,49,-67.7,153.367,1,1381.29,-0.0314,c18b,1970-01-01T00:00:00Z
2003159,0,0.0,3,-69.8,166.3,0,1788.84,0.0,c19c,1970-01-01T00:00:00Z
